invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,customer_id,Year,Month,Month_Name,Quarter,Weekday,age,annual_income,social_class
244-74-6400,B,Naypyitaw,Member,Male,Fashion accessories,120,9,0.05,1134.0,2021-01-09,11:03:00,Ewallet,1080,18.089,54.0,6.8,CUST-0642,2021,1,Jan,1,Saturday,49,146105,Upper
263-57-5678,C,Naypyitaw,Member,Male,Electronic accessories,30,10,0.05,315.0,2021-01-09,13:28:00,Cash,300,12.423,15.0,4.7,CUST-0558,2021,1,Jan,1,Saturday,43,105639,Middle
393-12-9388,C,Mandalay,Member,Male,Home and lifestyle,200,7,0.05,1470.0,2021-01-09,21:54:00,Credit card,1400,6.014,70.0,5.3,CUST-0451,2021,1,Jan,1,Saturday,19,31737,Lower
225-73-6196,A,Yangon,Member,Female,Home and lifestyle,200,4,0.05,840.0,2021-01-10,20:30:00,Ewallet,800,6.014,40.0,9.7,CUST-0091,2021,1,Jan,1,Sunday,34,141559,Upper
831-17-3207,C,Mandalay,Member,Male,Food and beverages,15,5,0.05,78.75,2021-01-10,12:34:00,Credit card,75,2.064,3.75,5.9,CUST-0279,2021,1,Jan,1,Sunday,65,128032,Upper
196-34-7372,C,Yangon,Member,Female,Fashion accessories,120,3,0.05,378.0,2021-01-12,10:20:00,Cash,360,18.089,18.0,7.8,CUST-0660,2021,1,Jan,1,Tuesday,32,74237,Middle
884-92-7354,C,Mandalay,Normal,Male,Sports and travel,180,10,0.05,1890.0,2021-01-13,14:22:00,Ewallet,1800,15.045,90.0,7.7,CUST-0031,2021,1,Jan,1,Wednesday,45,119434,Middle
140-41-8746,B,Yangon,Normal,Male,Home and lifestyle,200,6,0.05,1260.0,2021-01-14,20:33:00,Cash,1200,6.014,60.0,9.2,CUST-0045,2021,1,Jan,1,Thursday,49,17933,Lower
697-31-5499,C,Mandalay,Normal,Male,Food and beverages,15,1,0.05,15.75,2021-01-15,11:33:00,Ewallet,15,2.064,0.75,7.1,CUST-0434,2021,1,Jan,1,Friday,42,140388,Upper
209-72-7483,A,Yangon,Normal,Female,Sports and travel,180,3,0.05,567.0,2021-01-17,21:06:00,Credit card,540,15.045,27.0,8.9,CUST-0784,2021,1,Jan,1,Sunday,50,141119,Upper
333-98-9866,A,Naypyitaw,Member,Male,Food and beverages,15,10,0.05,157.5,2021-01-18,21:43:00,Credit card,150,2.064,7.5,4.7,CUST-0635,2021,1,Jan,1,Monday,26,87578,Middle
524-40-4814,B,Naypyitaw,Member,Male,Fashion accessories,120,4,0.05,504.0,2021-01-18,15:14:00,Cash,480,18.089,24.0,4.6,CUST-0102,2021,1,Jan,1,Monday,68,48302,Lower
586-44-1989,B,Mandalay,Normal,Female,Fashion accessories,120,4,0.05,504.0,2021-01-18,10:38:00,Ewallet,480,18.089,24.0,7.9,CUST-0803,2021,1,Jan,1,Monday,58,137499,Upper
972-95-9690,A,Mandalay,Member,Female,Food and beverages,15,1,0.05,15.75,2021-01-18,18:38:00,Ewallet,15,2.064,0.75,9.9,CUST-0304,2021,1,Jan,1,Monday,31,122948,Middle
114-18-4538,C,Mandalay,Normal,Male,Home and lifestyle,200,9,0.05,1890.0,2021-01-19,21:27:00,Credit card,1800,6.014,90.0,9.8,CUST-0082,2021,1,Jan,1,Tuesday,21,120852,Middle
327-74-8913,B,Naypyitaw,Normal,Female,Fashion accessories,120,4,0.05,504.0,2021-01-19,20:05:00,Credit card,480,18.089,24.0,7.5,CUST-0487,2021,1,Jan,1,Tuesday,52,35534,Lower
979-17-1284,C,Mandalay,Member,Female,Home and lifestyle,200,4,0.05,840.0,2021-01-19,20:59:00,Ewallet,800,6.014,40.0,6.4,CUST-0476,2021,1,Jan,1,Tuesday,55,118777,Middle
268-30-1047,B,Mandalay,Normal,Female,Fashion accessories,120,2,0.05,252.0,2021-01-20,20:22:00,Credit card,240,18.089,12.0,5.5,CUST-0277,2021,1,Jan,1,Wednesday,44,53274,Middle
770-58-7195,A,Yangon,Member,Male,Fashion accessories,120,5,0.05,630.0,2021-01-23,20:15:00,Ewallet,600,18.089,30.0,7.6,CUST-0732,2021,1,Jan,1,Saturday,54,103677,Middle
207-54-5153,B,Yangon,Normal,Female,Electronic accessories,30,9,0.05,283.5,2021-01-24,18:36:00,Cash,270,12.423,13.5,5.8,CUST-0063,2021,1,Jan,1,Sunday,50,68410,Middle
542-70-4264,C,Yangon,Member,Female,Fashion accessories,120,2,0.05,252.0,2021-01-25,20:15:00,Cash,240,18.089,12.0,5.4,CUST-0063,2021,1,Jan,1,Monday,50,68410,Middle
742-95-2019,A,Yangon,Normal,Male,Food and beverages,15,2,0.05,31.5,2021-01-25,11:50:00,Credit card,30,2.064,1.5,5.9,CUST-0919,2021,1,Jan,1,Monday,63,118783,Middle
772-19-7029,B,Yangon,Normal,Male,Food and beverages,15,5,0.05,78.75,2021-01-25,15:54:00,Cash,75,2.064,3.75,5.0,CUST-0995,2021,1,Jan,1,Monday,47,130950,Upper
457-68-4353,C,Mandalay,Normal,Female,Food and beverages,15,3,0.05,47.25,2021-01-26,14:57:00,Credit card,45,2.064,2.25,4.8,CUST-0054,2021,1,Jan,1,Tuesday,48,87301,Middle
669-54-9490,C,Yangon,Member,Female,Home and lifestyle,200,8,0.05,1680.0,2021-01-26,10:12:00,Ewallet,1600,6.014,80.0,6.4,CUST-0103,2021,1,Jan,1,Tuesday,43,77617,Middle
828-49-5488,A,Naypyitaw,Normal,Male,Sports and travel,180,4,0.05,756.0,2021-01-26,21:30:00,Credit card,720,15.045,36.0,9.2,CUST-0058,2021,1,Jan,1,Tuesday,29,84322,Middle
134-48-1802,A,Yangon,Member,Female,Fashion accessories,120,9,0.05,1134.0,2021-01-27,12:34:00,Cash,1080,18.089,54.0,9.4,CUST-0011,2021,1,Jan,1,Wednesday,45,126231,Middle
174-79-8993,B,Naypyitaw,Normal,Male,Sports and travel,180,1,0.05,189.0,2021-01-28,10:10:00,Credit card,180,15.045,9.0,7.5,CUST-0213,2021,1,Jan,1,Thursday,38,109499,Middle
315-59-6273,B,Mandalay,Normal,Male,Home and lifestyle,200,1,0.05,210.0,2021-01-28,15:47:00,Ewallet,200,6.014,10.0,5.4,CUST-0073,2021,1,Jan,1,Thursday,57,93190,Middle
526-48-6574,C,Yangon,Normal,Male,Electronic accessories,30,4,0.05,126.0,2021-01-28,10:03:00,Credit card,120,12.423,6.0,7.3,CUST-0110,2021,1,Jan,1,Thursday,62,143175,Upper
570-57-4123,B,Naypyitaw,Normal,Female,Sports and travel,180,3,0.05,567.0,2021-02-02,11:49:00,Credit card,540,15.045,27.0,4.4,CUST-0819,2021,2,Feb,1,Tuesday,47,119541,Middle
580-96-2319,A,Naypyitaw,Normal,Female,Food and beverages,15,9,0.05,141.75,2021-02-02,18:44:00,Credit card,135,2.064,6.75,9.1,CUST-0084,2021,2,Feb,1,Tuesday,40,76192,Middle
183-34-4317,A,Mandalay,Normal,Male,Home and lifestyle,200,10,0.05,2100.0,2021-02-03,12:33:00,Cash,2000,6.014,100.0,5.9,CUST-0785,2021,2,Feb,1,Wednesday,35,85620,Middle
744-56-8593,B,Naypyitaw,Normal,Female,Health and beauty,90,10,0.05,945.0,2021-02-03,14:11:00,Cash,900,12.065,45.0,4.1,CUST-0807,2021,2,Feb,1,Wednesday,45,137345,Upper
994-39-6150,A,Naypyitaw,Member,Male,Electronic accessories,30,2,0.05,63.0,2021-02-05,20:32:00,Credit card,60,12.423,3.0,6.8,CUST-0321,2021,2,Feb,1,Friday,35,109534,Middle
420-48-4175,C,Mandalay,Normal,Female,Electronic accessories,30,2,0.05,63.0,2021-02-06,17:08:00,Ewallet,60,12.423,3.0,4.7,CUST-0429,2021,2,Feb,1,Saturday,29,131935,Upper
972-12-6056,A,Mandalay,Normal,Male,Sports and travel,180,2,0.05,378.0,2021-02-06,17:43:00,Cash,360,15.045,18.0,4.4,CUST-0128,2021,2,Feb,1,Saturday,31,106143,Middle
158-78-4342,A,Mandalay,Normal,Male,Fashion accessories,120,9,0.05,1134.0,2021-02-07,10:36:00,Ewallet,1080,18.089,54.0,4.2,CUST-0173,2021,2,Feb,1,Sunday,23,138585,Upper
244-95-1457,A,Yangon,Normal,Male,Food and beverages,15,5,0.05,78.75,2021-02-09,21:03:00,Credit card,75,2.064,3.75,5.5,CUST-0214,2021,2,Feb,1,Tuesday,62,66770,Middle
493-16-3431,B,Yangon,Member,Female,Fashion accessories,120,5,0.05,630.0,2021-02-09,15:14:00,Credit card,600,18.089,30.0,8.5,CUST-0769,2021,2,Feb,1,Tuesday,59,30269,Lower
438-96-5290,A,Mandalay,Member,Male,Food and beverages,15,3,0.05,47.25,2021-02-11,17:29:00,Ewallet,45,2.064,2.25,8.1,CUST-0081,2021,2,Feb,1,Thursday,43,71548,Middle
510-58-6438,C,Naypyitaw,Normal,Female,Fashion accessories,120,7,0.05,882.0,2021-02-11,17:57:00,Credit card,840,18.089,42.0,6.1,CUST-0232,2021,2,Feb,1,Thursday,20,68270,Middle
218-83-7800,C,Yangon,Member,Female,Electronic accessories,30,1,0.05,31.5,2021-02-12,17:32:00,Cash,30,12.423,1.5,5.6,CUST-0999,2021,2,Feb,1,Friday,66,23223,Lower
732-89-1316,A,Mandalay,Normal,Female,Home and lifestyle,200,5,0.05,1050.0,2021-02-13,21:13:00,Cash,1000,6.014,50.0,5.4,CUST-0118,2021,2,Feb,1,Saturday,55,142344,Upper
997-12-9262,B,Mandalay,Normal,Male,Home and lifestyle,200,2,0.05,420.0,2021-02-13,11:25:00,Cash,400,6.014,20.0,6.6,CUST-0900,2021,2,Feb,1,Saturday,40,46502,Lower
547-22-1905,A,Naypyitaw,Normal,Male,Health and beauty,90,10,0.05,945.0,2021-02-14,16:46:00,Ewallet,900,12.065,45.0,4.1,CUST-0151,2021,2,Feb,1,Sunday,45,80089,Middle
224-86-8543,A,Mandalay,Normal,Male,Fashion accessories,120,5,0.05,630.0,2021-02-16,17:51:00,Credit card,600,18.089,30.0,6.3,CUST-0064,2021,2,Feb,1,Tuesday,27,98656,Middle
311-50-2584,B,Mandalay,Normal,Female,Health and beauty,90,10,0.05,945.0,2021-02-16,10:25:00,Credit card,900,12.065,45.0,8.6,CUST-0566,2021,2,Feb,1,Tuesday,31,66830,Middle
110-35-3048,B,Mandalay,Normal,Female,Food and beverages,15,7,0.05,110.25,2021-02-19,16:46:00,Ewallet,105,2.064,5.25,5.0,CUST-0168,2021,2,Feb,1,Friday,59,94239,Middle
113-69-1928,C,Mandalay,Member,Female,Health and beauty,90,6,0.05,567.0,2021-02-19,10:17:00,Ewallet,540,12.065,27.0,7.5,CUST-0197,2021,2,Feb,1,Friday,35,39703,Lower
787-24-7246,A,Naypyitaw,Normal,Female,Health and beauty,90,6,0.05,567.0,2021-02-19,20:48:00,Cash,540,12.065,27.0,5.7,CUST-0039,2021,2,Feb,1,Friday,40,31660,Lower
829-51-3313,B,Yangon,Member,Female,Food and beverages,15,8,0.05,126.0,2021-02-19,19:06:00,Credit card,120,2.064,6.0,5.6,CUST-0881,2021,2,Feb,1,Friday,25,74326,Middle
652-76-6799,C,Yangon,Normal,Female,Fashion accessories,120,9,0.05,1134.0,2021-02-21,17:02:00,Credit card,1080,18.089,54.0,9.4,CUST-0163,2021,2,Feb,1,Sunday,32,81393,Middle
111-65-6614,A,Mandalay,Normal,Female,Fashion accessories,120,2,0.05,252.0,2021-02-22,21:42:00,Credit card,240,18.089,12.0,8.6,CUST-0167,2021,2,Feb,1,Monday,38,48672,Lower
913-65-5469,A,Naypyitaw,Normal,Male,Electronic accessories,30,3,0.05,94.5,2021-02-22,15:20:00,Cash,90,12.423,4.5,4.9,CUST-0143,2021,2,Feb,1,Monday,59,124972,Middle
218-98-9856,A,Yangon,Normal,Male,Health and beauty,90,10,0.05,945.0,2021-02-23,10:33:00,Ewallet,900,12.065,45.0,8.2,CUST-0481,2021,2,Feb,1,Tuesday,23,77714,Middle
237-25-3938,C,Yangon,Normal,Male,Sports and travel,180,2,0.05,378.0,2021-02-23,13:51:00,Cash,360,15.045,18.0,6.3,CUST-0808,2021,2,Feb,1,Tuesday,47,18445,Lower
937-46-3993,B,Naypyitaw,Member,Female,Food and beverages,15,6,0.05,94.5,2021-02-23,21:13:00,Cash,90,2.064,4.5,4.5,CUST-0047,2021,2,Feb,1,Tuesday,41,82072,Middle
565-26-2965,C,Yangon,Normal,Female,Electronic accessories,30,2,0.05,63.0,2021-02-25,11:11:00,Cash,60,12.423,3.0,7.6,CUST-0132,2021,2,Feb,1,Thursday,28,125900,Middle
743-86-6772,A,Mandalay,Member,Female,Home and lifestyle,200,2,0.05,420.0,2021-02-28,19:59:00,Ewallet,400,6.014,20.0,4.7,CUST-0799,2021,2,Feb,1,Sunday,64,75341,Middle
924-23-7792,B,Yangon,Normal,Male,Health and beauty,90,9,0.05,850.5,2021-02-28,16:30:00,Cash,810,12.065,40.5,6.1,CUST-0685,2021,2,Feb,1,Sunday,25,44267,Lower
835-75-1495,A,Naypyitaw,Normal,Female,Home and lifestyle,200,2,0.05,420.0,2021-03-01,18:58:00,Credit card,400,6.014,20.0,6.8,CUST-0163,2021,3,Mar,1,Monday,32,81393,Middle
227-55-3666,A,Naypyitaw,Member,Female,Sports and travel,180,3,0.05,567.0,2021-03-02,19:23:00,Credit card,540,15.045,27.0,6.6,CUST-0156,2021,3,Mar,1,Tuesday,68,15296,Lower
670-42-2635,A,Naypyitaw,Member,Male,Health and beauty,90,5,0.05,472.5,2021-03-04,11:06:00,Cash,450,12.065,22.5,9.9,CUST-0821,2021,3,Mar,1,Thursday,47,97789,Middle
883-77-6409,C,Naypyitaw,Member,Male,Food and beverages,15,4,0.05,63.0,2021-03-04,18:00:00,Credit card,60,2.064,3.0,4.1,CUST-0855,2021,3,Mar,1,Thursday,24,81536,Middle
923-25-4731,A,Naypyitaw,Member,Female,Fashion accessories,120,3,0.05,378.0,2021-03-04,18:06:00,Cash,360,18.089,18.0,8.1,CUST-0211,2021,3,Mar,1,Thursday,19,41391,Lower
561-42-5643,A,Mandalay,Normal,Female,Food and beverages,15,3,0.05,47.25,2021-03-05,14:19:00,Ewallet,45,2.064,2.25,7.9,CUST-0208,2021,3,Mar,1,Friday,39,101739,Middle
340-15-9790,B,Yangon,Normal,Female,Food and beverages,15,4,0.05,63.0,2021-03-07,21:23:00,Credit card,60,2.064,3.0,8.9,CUST-0153,2021,3,Mar,1,Sunday,31,106134,Middle
546-48-4851,A,Naypyitaw,Normal,Female,Food and beverages,15,9,0.05,141.75,2021-03-07,13:24:00,Cash,135,2.064,6.75,9.1,CUST-0115,2021,3,Mar,1,Sunday,63,16062,Lower
165-91-7283,B,Naypyitaw,Normal,Male,Electronic accessories,30,8,0.05,252.0,2021-03-09,17:00:00,Ewallet,240,12.423,12.0,8.9,CUST-0697,2021,3,Mar,1,Tuesday,35,44765,Lower
759-29-1381,A,Yangon,Member,Female,Home and lifestyle,200,4,0.05,840.0,2021-03-09,21:16:00,Ewallet,800,6.014,40.0,8.5,CUST-0062,2021,3,Mar,1,Tuesday,47,18643,Lower
246-89-4963,A,Yangon,Member,Male,Fashion accessories,120,7,0.05,882.0,2021-03-10,19:35:00,Credit card,840,18.089,42.0,7.7,CUST-0072,2021,3,Mar,1,Wednesday,30,102796,Middle
777-84-4501,B,Yangon,Member,Male,Health and beauty,90,3,0.05,283.5,2021-03-10,17:08:00,Credit card,270,12.065,13.5,8.8,CUST-0589,2021,3,Mar,1,Wednesday,67,35746,Lower
110-97-7630,A,Yangon,Member,Male,Home and lifestyle,200,5,0.05,1050.0,2021-03-11,16:00:00,Cash,1000,6.014,50.0,8.3,CUST-0095,2021,3,Mar,1,Thursday,44,128578,Upper
216-51-6889,A,Yangon,Member,Male,Food and beverages,15,6,0.05,94.5,2021-03-13,13:11:00,Credit card,90,2.064,4.5,8.7,CUST-0133,2021,3,Mar,1,Saturday,40,110057,Middle
974-14-1216,A,Yangon,Normal,Female,Home and lifestyle,200,10,0.05,2100.0,2021-03-13,21:08:00,Cash,2000,6.014,100.0,8.9,CUST-0169,2021,3,Mar,1,Saturday,45,34477,Lower
976-45-8892,C,Naypyitaw,Member,Female,Electronic accessories,30,2,0.05,63.0,2021-03-13,17:38:00,Credit card,60,12.423,3.0,6.5,CUST-0518,2021,3,Mar,1,Saturday,57,114138,Middle
269-79-2235,A,Yangon,Member,Female,Health and beauty,90,4,0.05,378.0,2021-03-14,11:30:00,Ewallet,360,12.065,18.0,5.1,CUST-0571,2021,3,Mar,1,Sunday,49,67379,Middle
358-43-7484,C,Yangon,Member,Female,Health and beauty,90,1,0.05,94.5,2021-03-14,15:34:00,Credit card,90,12.065,4.5,9.2,CUST-0108,2021,3,Mar,1,Sunday,44,122640,Middle
387-37-7599,B,Mandalay,Member,Female,Food and beverages,15,5,0.05,78.75,2021-03-14,13:28:00,Ewallet,75,2.064,3.75,4.5,CUST-0949,2021,3,Mar,1,Sunday,50,33780,Lower
659-97-3172,C,Naypyitaw,Normal,Male,Fashion accessories,120,5,0.05,630.0,2021-03-15,16:34:00,Cash,600,18.089,30.0,6.7,CUST-0996,2021,3,Mar,1,Monday,60,45602,Lower
546-45-2905,A,Mandalay,Member,Female,Fashion accessories,120,7,0.05,882.0,2021-03-16,14:44:00,Credit card,840,18.089,42.0,7.8,CUST-0168,2021,3,Mar,1,Tuesday,59,94239,Middle
502-60-9397,C,Yangon,Member,Female,Electronic accessories,30,4,0.05,126.0,2021-03-17,15:46:00,Ewallet,120,12.423,6.0,6.4,CUST-0747,2021,3,Mar,1,Wednesday,35,56894,Middle
201-32-7785,A,Yangon,Normal,Male,Sports and travel,180,8,0.05,1512.0,2021-03-18,17:00:00,Credit card,1440,15.045,72.0,8.2,CUST-0194,2021,3,Mar,1,Thursday,36,91494,Middle
332-89-9500,B,Naypyitaw,Normal,Male,Home and lifestyle,200,10,0.05,2100.0,2021-03-18,16:52:00,Cash,2000,6.014,100.0,5.1,CUST-0198,2021,3,Mar,1,Thursday,27,24788,Lower
741-91-3515,C,Yangon,Member,Male,Food and beverages,15,4,0.05,63.0,2021-03-18,13:04:00,Credit card,60,2.064,3.0,8.4,CUST-0274,2021,3,Mar,1,Thursday,46,118342,Middle
863-36-8177,B,Naypyitaw,Member,Female,Home and lifestyle,200,2,0.05,420.0,2021-03-18,20:15:00,Cash,400,6.014,20.0,6.8,CUST-0129,2021,3,Mar,1,Thursday,48,37143,Lower
610-10-8780,B,Mandalay,Member,Female,Food and beverages,15,6,0.05,94.5,2021-03-19,12:44:00,Cash,90,2.064,4.5,4.2,CUST-0126,2021,3,Mar,1,Friday,19,70774,Middle
846-65-4941,B,Yangon,Member,Male,Sports and travel,180,10,0.05,1890.0,2021-03-19,19:45:00,Ewallet,1800,15.045,90.0,9.3,CUST-0045,2021,3,Mar,1,Friday,49,17933,Lower
722-77-1787,C,Yangon,Normal,Male,Sports and travel,180,6,0.05,1134.0,2021-03-20,12:10:00,Cash,1080,15.045,54.0,4.4,CUST-0164,2021,3,Mar,1,Saturday,26,78663,Middle
965-35-3192,B,Mandalay,Normal,Male,Electronic accessories,30,3,0.05,94.5,2021-03-21,17:00:00,Cash,90,12.423,4.5,4.5,CUST-0595,2021,3,Mar,1,Sunday,22,19018,Lower
177-52-7495,C,Yangon,Member,Female,Fashion accessories,120,4,0.05,504.0,2021-03-22,15:06:00,Ewallet,480,18.089,24.0,7.3,CUST-0922,2021,3,Mar,1,Monday,57,88405,Middle
237-55-2713,B,Yangon,Member,Male,Electronic accessories,30,9,0.05,283.5,2021-03-22,14:33:00,Cash,270,12.423,13.5,4.7,CUST-0069,2021,3,Mar,1,Monday,36,90231,Middle
658-77-8910,C,Naypyitaw,Member,Male,Home and lifestyle,200,8,0.05,1680.0,2021-03-23,21:54:00,Ewallet,1600,6.014,80.0,6.7,CUST-0438,2021,3,Mar,1,Tuesday,40,97324,Middle
401-56-6162,A,Yangon,Normal,Female,Electronic accessories,30,4,0.05,126.0,2021-03-24,14:29:00,Cash,120,12.423,6.0,5.8,CUST-0181,2021,3,Mar,1,Wednesday,42,142947,Upper
449-93-8346,A,Naypyitaw,Normal,Male,Health and beauty,90,10,0.05,945.0,2021-03-25,17:12:00,Cash,900,12.065,45.0,7.8,CUST-0061,2021,3,Mar,1,Thursday,61,15668,Lower
124-65-8099,B,Mandalay,Member,Male,Fashion accessories,120,1,0.05,126.0,2021-03-26,21:32:00,Credit card,120,18.089,6.0,4.9,CUST-0899,2021,3,Mar,1,Friday,56,33361,Lower
341-76-7205,B,Yangon,Normal,Male,Electronic accessories,30,6,0.05,189.0,2021-03-26,21:03:00,Credit card,180,12.423,9.0,4.6,CUST-0471,2021,3,Mar,1,Friday,22,128994,Upper
431-98-4188,C,Yangon,Normal,Male,Electronic accessories,30,8,0.05,252.0,2021-03-26,15:52:00,Ewallet,240,12.423,12.0,9.7,CUST-0079,2021,3,Mar,1,Friday,34,30832,Lower
929-91-5908,C,Mandalay,Member,Male,Food and beverages,15,10,0.05,157.5,2021-03-27,16:40:00,Ewallet,150,2.064,7.5,7.6,CUST-0146,2021,3,Mar,1,Saturday,30,125612,Middle
227-43-5740,C,Mandalay,Member,Female,Food and beverages,15,10,0.05,157.5,2021-03-28,14:34:00,Cash,150,2.064,7.5,9.6,CUST-0708,2021,3,Mar,1,Sunday,53,51054,Middle
542-47-1862,B,Naypyitaw,Member,Female,Food and beverages,15,7,0.05,110.25,2021-04-01,18:05:00,Ewallet,105,2.064,5.25,8.8,CUST-0240,2021,4,Apr,2,Thursday,56,114573,Middle
781-79-9907,C,Yangon,Member,Female,Fashion accessories,120,1,0.05,126.0,2021-04-01,16:58:00,Cash,120,18.089,6.0,7.4,CUST-0016,2021,4,Apr,2,Thursday,51,51785,Middle
888-42-5352,B,Mandalay,Normal,Female,Food and beverages,15,2,0.05,31.5,2021-04-01,19:34:00,Credit card,30,2.064,1.5,6.2,CUST-0872,2021,4,Apr,2,Thursday,35,48766,Lower
450-85-1654,C,Naypyitaw,Member,Female,Home and lifestyle,200,1,0.05,210.0,2021-04-03,13:39:00,Ewallet,200,6.014,10.0,7.8,CUST-0078,2021,4,Apr,2,Saturday,48,122659,Middle
972-39-2663,B,Yangon,Member,Male,Electronic accessories,30,3,0.05,94.5,2021-04-03,13:13:00,Credit card,90,12.423,4.5,6.2,CUST-0116,2021,4,Apr,2,Saturday,52,119554,Middle
224-57-4602,A,Yangon,Member,Male,Sports and travel,180,9,0.05,1701.0,2021-04-04,13:22:00,Ewallet,1620,15.045,81.0,4.5,CUST-0523,2021,4,Apr,2,Sunday,44,114886,Middle
726-65-8679,A,Naypyitaw,Member,Male,Health and beauty,90,3,0.05,283.5,2021-04-05,19:17:00,Credit card,270,12.065,13.5,4.5,CUST-0162,2021,4,Apr,2,Monday,49,58439,Middle
204-32-7202,C,Yangon,Normal,Male,Electronic accessories,30,10,0.05,315.0,2021-04-06,10:16:00,Ewallet,300,12.423,15.0,6.8,CUST-0228,2021,4,Apr,2,Tuesday,30,131499,Upper
343-73-9924,C,Naypyitaw,Normal,Male,Fashion accessories,120,4,0.05,504.0,2021-04-06,11:29:00,Cash,480,18.089,24.0,7.3,CUST-0199,2021,4,Apr,2,Tuesday,40,144481,Upper
277-63-5454,C,Yangon,Member,Male,Food and beverages,15,10,0.05,157.5,2021-04-07,12:54:00,Cash,150,2.064,7.5,6.3,CUST-0956,2021,4,Apr,2,Wednesday,45,128476,Upper
409-23-5172,C,Yangon,Member,Male,Health and beauty,90,3,0.05,283.5,2021-04-07,14:40:00,Cash,270,12.065,13.5,9.5,CUST-0189,2021,4,Apr,2,Wednesday,43,48524,Lower
699-26-4254,A,Naypyitaw,Member,Female,Health and beauty,90,9,0.05,850.5,2021-04-07,10:14:00,Ewallet,810,12.065,40.5,8.8,CUST-0863,2021,4,Apr,2,Wednesday,28,102457,Middle
868-55-5874,A,Naypyitaw,Member,Female,Electronic accessories,30,5,0.05,157.5,2021-04-08,10:41:00,Credit card,150,12.423,7.5,7.9,CUST-0367,2021,4,Apr,2,Thursday,62,76494,Middle
308-18-6668,C,Naypyitaw,Normal,Male,Health and beauty,90,3,0.05,283.5,2021-04-09,19:05:00,Credit card,270,12.065,13.5,9.3,CUST-0671,2021,4,Apr,2,Friday,36,22082,Lower
